,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
1,1,1905,first round,1,R Heath,T Fitchett,3.0,0.0,18.0,5.0,grass,ausopen,1
3,1,1905,second round,2,R Heath,H Rice,3.0,1.0,22.0,12.0,grass,ausopen,1
632,2,1905,second round,2,H Turner,C Heath,3.0,2.0,27.0,25.0,grass,ausopen,1
1148,3,1905,second round,2,R Lycett,H Hastings,3.0,0.0,18.0,6.0,grass,ausopen,1
1563,4,1905,second round,2,G Wright,D Harbison,3.0,1.0,23.0,16.0,grass,ausopen,1
1971,5,1905,second round,2,A Curtis,A Laurie,3.0,0.0,20.0,9.0,grass,ausopen,1
2269,6,1905,second round,2,E Pockley,E Robertson,3.0,2.0,26.0,19.0,grass,ausopen,1
2568,7,1905,second round,2,A Dunlop,G Howitt,3.0,0.0,18.0,9.0,grass,ausopen,1
2862,8,1905,second round,2,R Fraser,P Rowe,3.0,0.0,18.0,5.0,grass,ausopen,1
2,1,1905,quarterfinals,5,Rodney Heath,Herbert Turner,3.0,0.0,18.0,5.0,grass,ausopen,1
1147,3,1905,quarterfinals,5,Albert Curtis,Eric Pockley,3.0,1.0,22.0,18.0,grass,ausopen,1
1562,4,1905,quarterfinals,5,Alfred Dunlop,Reginald Fraser,3.0,0.0,18.0,9.0,grass,ausopen,1
4,1,1905,semifinals,6,Rodney Heath,Randolph Lycett,3.0,1.0,27.0,18.0,grass,ausopen,1
633,2,1905,semifinals,6,Albert Curtis,Alfred Dunlop,3.0,1.0,27.0,22.0,grass,ausopen,1
0,1,1905,final,7,Rodney Heath,Albert Curtis,3.0,1.0,22.0,17.0,grass,ausopen,1
6,1,1906,first round,1,Anthony Wilding,Cecil C Cox,3.0,0.0,18.0,5.0,grass,ausopen,1
634,2,1906,first round,1,Harry Parker,Richard Harman,3.0,0.0,18.0,3.0,grass,ausopen,1
1149,3,1906,first round,1,Francis Fisher,Rodney Heath,3.0,2.0,26.0,21.0,grass,ausopen,1
7,1,1906,semifinals,6,Anthony Wilding,Harry Parker,3.0,1.0,22.0,15.0,grass,ausopen,1
635,2,1906,semifinals,6,Francis Fisher,Thomas R Quill,3.0,1.0,21.0,15.0,grass,ausopen,1
5,1,1906,final,7,Anthony Wilding,Francis Fisher,3.0,0.0,18.0,8.0,grass,ausopen,1
9,1,1907,first round,1,H M Turner,G Crouch,3.0,0.0,18.0,4.0,grass,ausopen,1
636,2,1907,first round,1,S N Doust,Sayers,2.0,0.0,11.0,5.0,grass,ausopen,1
1150,3,1907,first round,1,G Wright,Gill,3.0,1.0,21.0,16.0,grass,ausopen,1
